"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Fertilizer consumption (% of fertilizer production)","AG.CON.FERT.PT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Fertilizer consumption (% of fertilizer production)","AG.CON.FERT.PT.ZS","","158.829084602409","146.989615813178","146.703323399845","170.154236626318","167.498387674669","157.522165270805","119.56410514654","132.398306766321","105.954596524604","116.096564422367","122.440786533592","123.423370602672","124.958471093202","124.911649096282","124.197641421101","122.901623107835","118.152684490101","115.839368467511","122.049421270479","132.355754733175","144.613933079326","155.422838182563","127.107724564019","108.968919550335","118.703332401221","121.603337746012","122.286693763746","115.21442286747","119.926427858733","112.846804003821","115.99960895276","107.490590035372","121.779979277148","118.858497198442","107.004927691484","106.959445155697","104.377385896548","110.720935244047","110.138852390017","140.033194424486","153.212052302445","158.713093396788","145.043827544903","171.539700602722","162.631843886898","230.443499083978","197.34342728377","221.710207532055","239.907049164632","211.622555294118","291.110023969319","221.665181389629","587.284429186861","503.229434207674","659.185979232766","708.291645317393","752.710370179949","714.993809758502","831.583367346939","930.177029496215","876.412798225007","815.587170451579","","",
"Afghanistan","AFG","Fertilizer consumption (% of fertilizer production)","AG.CON.FERT.PT.ZS","","","","","","","","","","","","","","","177.32907883036","246.270475159063","168.820364080449","143.877523945979","111.115942028986","102.979296066253","104.552147239264","94.639751552795","109.281573498965","117.142857142857","148.892534864643","132.177536231884","119.928698752228","139.365079365079","100.960144927536","100.724637681159","77.3913043478261","99.5901639344262","109.047619047619","100","","","100","100","140","100","100","100","104.751558896387","166.822534863631","170.466491931339","190.48295054699","141.015649807213","96.4902492193484","94.1792612894806","108.129575187417","115.245882548661","155.958782299404","114.088876570584","220.576394127546","495.085918405715","648.396816444194","662.617346619039","986.802155793696","847.548223350254","535.525662718556","427.560193018738","255.254371122391","248.017045810616","","",
"Africa Western and Central","AFW","Fertilizer consumption (% of fertilizer production)","AG.CON.FERT.PT.ZS","","","","","","","","623.537735849057","111.011687363039","54.2558486809358","121.299777815758","119.522999390107","112.047930809557","130.491504106143","166.791331031837","390.47619047619","416.869458128079","474.790763099285","303.634569525532","409.532751091703","544.927792644359","607.875236294896","850.943396226415","1178.35820895522","652.705410821643","441.875","398.826597131682","151.343938562809","103.041095890411","114.700878538558","119.317224652168","128.074956460457","119.247679078851","141.843971631206","157.257416704701","107.766634522662","118.933803581118","154.0386656558","127.077086656034","177.279202279202","138.211678132725","51.6407599309154","872.676506849315","730.920242061603","767.847846659121","1115.06306166029","4661.14329454991","997.361837604589","2304.85757707338","520.731962998469","1753.28375165494","594.463485036026","312.38411300433","175.837277591793","174.209124910123","231.002041931965","165.207608995786","212.782451998335","203.247372224273","208.216797345407","250.471824761126","227.652900565653","88.7132957532063","","",
"Angola","AGO","Fertilizer consumption (% of fertilizer production)","AG.CON.FERT.PT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Albania","ALB","Fertilizer consumption (% of fertilizer production)","AG.CON.FERT.PT.ZS","","","","","1280","400","316.666666666667","155","119.354838709677","100.558659217877","101.146788990826","94.3859649122807","97.5438596491228","102.288732394366","106.5","102.627257799672","106.824925816024","110.533707865169","104.497907949791","102.938090241343","99.6808510638298","103.037974683544","106.212424849699","104.795918367347","101.075268817204","101.182795698925","103.548387096774","102.370689655172","102.332979851538","102.207293666027","104.187946884576","104.333333333333","242.268041237113","166.1095636026","308.995815899582","1100","216.666666666667","173.333333333333","1250","530","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Fertilizer consumption (% of fertilizer production)","AG.CON.FERT.PT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Fertilizer consumption (% of fertilizer production)","AG.CON.FERT.PT.ZS","","151.530929437364","151.677605499113","150.467244949849","136.281475306069","115.839071311112","89.4150704592112","85.9645677098186","96.6037492599698","108.023472672211","115.812179231701","116.750664618699","104.553287016696","114.65797681047","98.5077313895567","106.119849640921","118.189660205994","71.5040136017226","68.7201204486373","63.5824187315515","62.0845637085323","66.0919625854933","60.4183885769658","51.2825138843055","46.9004531962278","46.0023691301833","47.4116962964986","46.1073480687936","39.4272832222924","36.7316867537219","40.7250940743878","40.3732676796899","39.0714654300309","39.54197179669","34.1497879614091","33.3693998162016","34.0857012027895","35.932690417923","33.0638396897104","33.3422626835821","32.452080367373","31.5429207870542","33.7838099125974","30.251978498351","32.2829085477904","30.2232015579227","28.3759629523205","24.412013680204","23.0074541654352","21.9996874947509","17.7097861047482","21.1276906682267","18.5583956905236","17.1538525437794","16.8742794539981","17.3793109980397","15.1699514372709","14.8367260881435","14.5071824476492","14.2493088503738","14.2114609410209","13.3676035597011","12.6955990876173","","",
"United Arab Emirates","ARE","Fertilizer consumption (% of fertilizer production)","AG.CON.FERT.PT.ZS","","","","","","","","","","","","","","","","","","","","","","","","51.0555555555556","1.73188956433637","2.23816958923853","0.680529300567108","1.27973748974569","2.2149302707137","4.54965201918962","5.47477224947442","7.34524325074314","9.59965561773569","10.6661532537543","12.7826086956522","10.8991825613079","12.4613003095975","10.781041388518","13.6732329084589","13.3156771867873","14.4207066557108","12.639942217407","13.3127787259814","12.4421117628898","12.7377126903018","9.6203605514316","11.1930010604454","11.1214209968187","10.9252386002121","7.38845705196182","8.28834040296925","7.74055337004983","7.33366527760755","3.2999878504389","1.81786403189164","2.18524047323074","1.945060868447","1.67257169188564","1.48015774358095","1.59712482318145","1.848288610742","1.76486133139012","","","",
"Argentina","ARG","Fertilizer consumption (% of fertilizer production)","AG.CON.FERT.PT.ZS","","523.903225806452","211.85","421.6","590","810","1413.87842926304","604.183214191157","265.846854987624","381.627170680226","246.602822009407","176.632302405498","200.46511627907","247.916728713107","250.333333333333","245.121951219512","271.628472222222","264.24253200569","370.463273708612","494.232522796353","373.559168633028","382.639907983977","227.021276595745","236.526946107784","301.330798479087","312.692307692308","420.042797987939","383.333333333333","318.003913894325","309.292929292929","315.238095238095","397.104201281747","759.300048947626","537.904022841246","708.741140735741","900","1059.72738537794","833.779608650875","786.511156186613","688.545150501672","587.063265306122","198.936302792522","160.851250716059","197.584494939851","222.144902046064","208.362549391813","218.98272683826","382.688116552721","305.880309793373","153.278635922547","343.588393790997","303.389553985328","253.005789829734","209.359991569461","255.653331424965","212.515123027388","258.568068845501","236.723822869906","364.065552052248","347.507128566363","356.251075244103","543.276627428233","464.863747697301","","",
"Armenia","ARM","Fertilizer consumption (% of fertilizer production)","AG.CON.FERT.PT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","523.6","","","","","","","","","","","","","","","","","","","","","","",
